time,failureCount,label
1,3,0
2,30,1
3,113,0
4,81,0
5,115,0
6,9,1
7,2,0
8,91,1
9,112,1
10,15,1
11,138,0
12,50,0
13,77,0
14,24,1
15,108,0
16,88,1
17,670,0
18,120,0
19,26,1
20,114,0
21,325,1
22,55,0
23,242,1
24,68,0
25,422,1
26,180,1
27,10,0
28,1146,0
29,600,1
30,15,0
31,36,0
32,4,1
33,0,0
34,8,1
35,227,0
36,65,1
37,176,0
38,58,1
39,457,1
40,300,1
41,97,0
42,263,0
43,452,0
44,255,1
45,197,0
46,193,1
47,6,0
48,79,1
49,816,0
50,1351,1
51,148,0
52,21,0
53,233,1
54,134,0
55,357,1
56,193,0
57,236,0
58,31,1
59,369,0
60,748,1
61,0,0
62,232,1
63,330,0
64,365,0
65,1222,1
66,543,1
67,10,0
68,16,1
69,529,0
70,379,0
71,44,1
72,129,0
73,810,1
74,290,0
75,300,1
76,529,1
77,281,0
78,160,0
79,828,1
80,1011,1
81,445,0
82,296,0
83,1755,0
84,1064,1
85,1783,0
86,860,0
87,983,1
88,707,0
89,33,1
90,868,0
91,724,0
92,2323,1
93,2930,1
94,1461,0
95,843,0
96,12,0
97,261,0
98,1800,1
99,865,0
100,1435,1
101,30,0
102,143,1
103,108,0
104,0,0
105,3110,1
106,1247,1
107,943,1
108,700,0
109,875,0
110,245,0
111,729,0
112,1897,1
113,447,1
114,386,0
115,446,0
116,122,1
117,990,1
118,948,0
119,1082,0
120,22,0
121,75,0
122,482,0
123,5509,1
124,100,0
125,10,1
126,1071,0
127,371,1
128,790,0
129,6150,0
130,3321,0
131,1045,0
132,648,0
133,5485,0
134,1160,1
135,1864,1
136,4116,1
